
---- PROCESS STARTING ON: Wed, 06 Mar 2013 14:08:23 +0000 ----
[2013-03-06 15:08:24,098][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF20\nsS'height'\np5\nI5\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI37\nsS'x'\nI58\ns."
[2013-03-06 15:08:24,098][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF58\nsS'height'\np5\nI10\nsS'width'\np6\nI14\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI34\nsS'x'\nI36\ns."
[2013-03-06 15:08:24,098][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF1496.5\nsS'height'\np5\nI89\nsS'width'\np6\nI45\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI30\nsS'x'\nI1\ns."
[2013-03-06 15:08:24,098][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF25\nsS'height'\np5\nI6\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI28\nsS'x'\nI30\ns."
[2013-03-06 15:08:24,099][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF20\nsS'height'\np5\nI5\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI24\nsS'x'\nI46\ns."
[2013-03-06 15:08:24,099][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF36\nsS'height'\np5\nI6\nsS'width'\np6\nI9\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI20\nsS'x'\nI119\ns."
[2013-03-06 15:08:24,099][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF20\nsS'height'\np5\nI5\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI8\nsS'x'\nI114\ns."
[2013-03-06 15:08:24,099][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF983.5\nsS'height'\np5\nI62\nsS'width'\np6\nI51\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI108\ns."
[2013-03-06 15:08:24,100][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF25\nsS'height'\np5\nI6\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI82\ns."
[2013-03-06 15:08:24,100][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF171\nsS'height'\np5\nI7\nsS'width'\np6\nI40\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI16\ns."
[2013-03-06 15:08:24,100][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI30\nsS'x'\nI1\nsS'height'\np5\nI89\nsS'surface'\np6\nF1496.5\nsS'width'\np7\nI45\nsa(dp8\nS'y'\nI1\nsS'x'\nI108\nsg5\nI62\nsg6\nF983.5\nsg7\nI51\nsa(dp9\nS'y'\nI69\nsS'x'\nI120\nsg5\nI50\nsg6\nF482\nsg7\nI39\nsa(dp10\nS'y'\nI1\nsS'x'\nI16\nsg5\nI7\nsg6\nF171\nsg7\nI40\nsa(dp11\nS'y'\nI34\nsS'x'\nI36\nsg5\nI10\nsg6\nF58\nsg7\nI14\nsa(dp12\nS'y'\nI20\nsS'x'\nI119\nsg5\nI6\nsg6\nF36\nsg7\nI9\nsa(dp13\nS'y'\nI89\nsS'x'\nI36\nsg5\nI6\nsg6\nF25\nsg7\nI6\nsa(dp14\nS'y'\nI28\nsS'x'\nI30\nsg5\nI6\nsg6\nF25\nsg7\nI6\nsa(dp15\nS'y'\nI1\nsS'x'\nI82\nsg5\nI6\nsg6\nF25\nsg7\nI6\nsa(dp16\nS'y'\nI96\nsS'x'\nI50\nsg5\nI6\nsg6\nF24.5\nsg7\nI6\nsa(dp17\nS'y'\nI37\nsS'x'\nI58\nsg5\nI5\nsg6\nF20\nsg7\nI6\nsa(dp18\nS'y'\nI24\nsS'x'\nI46\nsg5\nI5\nsg6\nF20\nsg7\nI6\nsa(dp19\nS'y'\nI8\nsS'x'\nI114\nsg5\nI5\nsg6\nF20\nsg7\nI6\nsa(dp20\nS'y'\nI117\nsS'x'\nI92\nsg5\nI2\nsg6\nF5\nsg7\nI6\nsa(dp21\nS'y'\nI117\nsS'x'\nI58\nsg5\nI2\nsg6\nF5\nsg7\nI6\nsasS'command'\np22\nS'observation'\np23\nsS'name'\np24\nS'combined_green'\np25\ns."
[2013-03-06 15:08:24,224][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF10\nsS'height'\np5\nI6\nsS'width'\np6\nI3\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI4\nsS'x'\nI1\ns."
